,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os
731,2016-09-17,0.0002,0.0003,0.0002,0.0002,0.0002,"375,370",0.0,0,4.335075179253127e-06,0.0,0.0,0.0,-100.0,0.0
732,2016-09-18,0.0002,0.0002,0.0002,0.0002,0.0002,"159,346",0.0,0,2.967946756529769e-06,0.0,0.0,0.0,-100.0,0.0
733,2016-09-19,0.0002,0.0002,0.0002,0.0002,0.0002,"178,186",0.0,0,1.8630119893643952e-06,-0.33333333333333326,0.0,0.0,-100.0,0.0
734,2016-09-20,0.0002,0.0002,0.0002,0.0002,0.0002,"131,253",0.0,0,9.760914511081867e-07,0.0,0.0,0.0,-100.0,0.0
735,2016-09-21,0.0002,0.0002,0.0002,0.0002,0.0002,"314,763",0.0,0,2.700871382167497e-07,0.0,-0.33333333333333326,0.0,-100.0,0.0
736,2016-09-22,0.0002,0.0002,0.0002,0.0002,0.0002,"109,829",0.0,0,-2.861280600681686e-07,0.0,0.0,0.0,-100.0,0.0
737,2016-09-23,0.0002,0.0003,0.0002,0.0002,0.0002,"230,223",0.0,0,-7.186484796923372e-07,0.0,0.0,0.0,-100.0,0.0
738,2016-09-24,0.0002,0.0002,0.0002,0.0002,0.0002,"95,230",0.0,0,-1.0493280280623508e-06,0.0,0.0,0.0,-100.0,0.0
739,2016-09-25,0.0002,0.0002,0.0002,0.0002,0.0002,"93,891",0.0,0,-1.2964492921350133e-06,0.0,0.0,0.0,-100.0,0.0
740,2016-09-26,0.0002,0.0002,0.0002,0.0002,0.0002,"164,711",0.0,0,-1.475288467210346e-06,0.0,0.0,-0.33333333333333326,-100.0,0.0
741,2016-09-27,0.0002,0.0002,0.0002,0.0002,0.0002,"140,515",0.0,0,-1.5985922258339186e-06,0.0,0.0,0.0,-100.0,0.0
742,2016-09-28,0.0002,0.0002,0.0002,0.0002,0.0002,"154,501",0.0,0,-1.6769801595038422e-06,0.0,0.0,0.0,-100.0,0.0
743,2016-09-29,0.0002,0.0002,0.0002,0.0002,0.0002,"175,265",0.0,0,-1.719284322242333e-06,0.0,0.0,0.0,-100.0,0.0
744,2016-09-30,0.0002,0.0002,0.0002,0.0002,0.0002,"147,126",0.0,0,-1.7328356255589313e-06,0.0,0.0,0.0,-100.0,0.0
745,2016-10-01,0.0002,0.0002,0.0002,0.0002,0.0002,"149,333",0.0,0,-1.7237053290057017e-06,0.0,0.0,0.0,0,0
746,2016-10-02,0.0002,0.0002,0.0002,0.0002,0.0002,"63,768",0.0,0,-1.696908597187592e-06,0.0,0.0,0.0,0,0
747,2016-10-03,0.0002,0.0002,0.0002,0.0002,0.0002,"143,210",0.0,0,-1.6565760170202679e-06,0.0,0.0,0.0,0,0
748,2016-10-04,0.0002,0.0002,0.0002,0.0002,0.0002,"121,528",0.0,0,-1.6060980580057506e-06,0.0,0.0,0.0,0,0
749,2016-10-05,0.0002,0.0002,0.0002,0.0002,0.0002,"59,005",0.0,0,-1.5482466877464354e-06,0.0,0.0,0.0,0,0
750,2016-10-06,0.0002,0.0002,0.0002,0.0002,0.0002,"316,034",0.0,0,-1.4852777032099728e-06,0.0,0.0,0.0,0,0
751,2016-10-07,0.0002,0.0002,0.0002,0.0002,0.0002,"100,431",0.0,0,-1.4190167870835855e-06,0.0,0.0,0.0,0,0
752,2016-10-08,0.0002,0.0002,0.0002,0.0002,0.0002,"91,294",0.0,0,-1.3509318324309114e-06,0.0,0.0,0.0,0,0
753,2016-10-09,0.0002,0.0002,0.0002,0.0002,0.0002,"72,973",0.0,0,-1.2821936846838433e-06,0.0,0.0,0.0,0,0
754,2016-10-10,0.0002,0.0002,0.0002,0.0002,0.0002,"74,304",0.0,0,-1.2137271166804949e-06,0.0,0.0,0.0,0,0
755,2016-10-11,0.0002,0.0002,0.0002,0.0002,0.0002,"255,195",0.0,0,-1.14625357061884e-06,0.0,0.0,0.0,0,0
756,2016-10-12,0.0002,0.0002,0.0002,0.0002,0.0002,"136,557",0.0,0,-1.0803269625007852e-06,0.0,0.0,0.0,0,0
757,2016-10-13,0.0002,0.0002,0.0002,0.0002,0.0002,"74,930",0.0,0,-1.0163636431775327e-06,0.0,0.0,0.0,0,0
758,2016-10-14,0.0002,0.0002,0.0002,0.0002,0.0002,"94,111",0.0,0,-9.546674397968764e-07,0.0,0.0,0.0,0,0
759,2016-10-15,0.0002,0.0002,0.0002,0.0002,0.0002,"54,318",0.0,0,-8.954505574924085e-07,0.0,0.0,0.0,0,0
760,2016-10-16,0.0002,0.0002,0.0002,0.0002,0.0002,"73,212",0.0,0,-8.388509994761769e-07,0.0,0.0,0.0,0,0
761,2016-10-17,0.0002,0.0002,0.0002,0.0002,0.0002,"94,379",0.0,0,-7.849470608654245e-07,0.0,0.0,0.0,0,0
762,2016-10-18,0.0002,0.0002,0.0002,0.0002,0.0002,"63,436",0.0,0,-7.33769364679056e-07,0.0,0.0,0.0,0,0
763,2016-10-19,0.0002,0.0002,0.0002,0.0002,0.0002,"102,827",0.0,0,-6.853108350210501e-07,0.0,0.0,0.0,0,0
764,2016-10-20,0.0002,0.0002,0.0002,0.0002,0.0002,"72,548",0.0,0,-6.39534940445434e-07,0.0,0.0,0.0,0,0
765,2016-10-21,0.0002,0.0002,0.0002,0.0002,0.0002,"50,624",0.0,0,-5.963824881090351e-07,0.0,0.0,0.0,0,0
766,2016-10-22,0.0002,0.0002,0.0002,0.0002,0.0002,"104,100",0.0,0,-5.557772050749938e-07,0.0,0.0,0.0,0,0
767,2016-10-23,0.0002,0.0002,0.0002,0.0002,0.0002,"64,535",0.0,0,-5.17630305773973e-07,0.0,0.0,0.0,0,0
768,2016-10-24,0.0002,0.0002,0.0002,0.0002,0.0002,"79,079",0.0,0,-4.818442130934044e-07,0.0,0.0,0.0,0,0
769,2016-10-25,0.0002,0.0002,0.0002,0.0002,0.0002,"93,590",0.0,0,-4.4831557394943845e-07,0.0,0.0,0.0,0,0
770,2016-10-26,0.0002,0.0002,0.0002,0.0002,0.0002,"143,192",0.0,0,-4.1693768773750587e-07,0.0,0.0,0.0,0,0
771,2016-10-27,0.0002,0.0002,0.0002,0.0002,0.0002,"122,038",0.0,0,-3.8760244711291583e-07,0.0,0.0,0.0,0,0
772,2016-10-28,0.0002,0.0002,0.0002,0.0002,0.0002,"95,798",0.0,0,-3.602018745766831e-07,0.0,0.0,0.0,0,0
773,2016-10-29,0.0002,0.0002,0.0002,0.0002,0.0002,"563,580",0.0,0,-3.346293248736537e-07,0.0,0.0,0.0,0,0
774,2016-10-30,0.0002,0.0002,0.0002,0.0002,0.0002,"112,318",0.0,0,-3.107804118598662e-07,0.0,0.0,0.0,0,0
775,2016-10-31,0.0002,0.0002,0.0002,0.0002,0.0002,"147,892",0.0,0,-2.885537089361318e-07,0.0,0.0,0.0,0,0
776,2016-11-01,0.0002,0.0002,0.0002,0.0002,0.0002,"169,851",0.0,0,-2.6785126409347923e-07,0.0,0.0,0.0,0,0
777,2016-11-02,0.0002,0.0002,0.0002,0.0002,0.0002,"71,283",0.0,0,-2.48578963842473e-07,0.0,0.0,0.0,0,0
778,2016-11-03,0.0002,0.0002,0.0002,0.0002,0.0002,"157,604",0.0,0,-2.3064677459917206e-07,0.0,0.0,0.0,0,0
779,2016-11-04,0.0002,0.0002,0.0002,0.0002,0.0002,"74,584",0.0,0,-2.1396888531057022e-07,0.0,0.0,0.0,0,0
